id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,11000,11000,11000, 60 months,17.97,279.15,D,D1,Climber,< 1 year,MORTGAGE,58000,Verified,Dec-2018,Current,n,,,vacation,Vacation,960xx,CA,7.18,0,Nov-2001,0,,,13,0,10189,33.6,24,f,10878.57,10878.57,269.68,269.68,121.43,148.25,0.0,0.0,0.0,Feb-2019,286.15,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,165455,2,0,0,0,28,0,,1,3,4073,34,30300,0,0,1,4,12727,17740,34.3,0,0,205,97,3,3,2,15,,3,,0,6,8,10,12,4,12,18,8,13,0,0,0,2,100,20,0,0,185977,10189,27000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,8.81,317.12,A,A5,Verizon Engineer,< 1 year,MORTGAGE,143600,Not Verified,Dec-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,232xx,VA,17.17,0,Dec-1999,1,,,10,0,5660,15.8,25,f,0.00,0.00,10003.3298888886,10003.33,10000.00,3.33,0.0,0.0,0.0,Jan-2019,10010.67,,Jan-2019,0,,1,Individual,,,,0,0,257595,1,3,1,3,7,54933,66,2,2,2298,42,35800,2,2,4,5,25760,5402,29.8,0,0,132,228,4,4,2,4,,0,,0,1,3,2,2,14,6,9,3,10,0,0,0,3,100,0,0,0,297034,60593,7700,76284,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,4500,4500,4475, 36 months,13.56,152.84,C,C1,Financial Advisor,2 years,MORTGAGE,93000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,275xx,NC,17.87,0,Mar-1997,1,,,13,0,50884,83.0,25,f,4294.87,4271.01,300.6,298.93,205.13,95.47,0.0,0.0,0.0,Feb-2019,152.84,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,249931,0,0,0,0,36,0,,0,0,10534,83,61300,0,0,1,0,19225,1248,97.2,0,0,129,261,25,25,3,25,,1,,0,8,11,8,9,5,12,17,11,13,0,0,0,0,100,100,0,0,273800,50884,44800,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 60 months,24.37,579.67,E,E2,,< 1 year,RENT,40000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,925xx,CA,14.96,0,Sep-2011,2,,,5,0,12754,89.8,7,f,19649.47,19649.47,1118.72,1118.72,350.53,768.19,0.0,0.0,0.0,Feb-2019,579.67,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,36245,1,2,0,0,69,23491,73,1,1,12496,78,14200,0,1,2,1,7249,4,100,0,0,87,72,5,5,0,26,,0,,0,1,2,1,2,2,3,5,2,5,0,0,0,1,100,100,0,0,46542,36245,12500,32342,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,20.89,451.43,D,D4,Logistical Officer,10+ years,MORTGAGE,161000,Not Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,707xx,LA,38.9,0,Feb-1983,1,,,24,0,64616,80.0,50,f,11510.72,11510.72,881.97,881.97,489.28,392.69,0.0,0.0,0.0,Feb-2019,451.43,Mar-2019,Feb-2019,0,,1,Joint App,201271,32.94,Not Verified,0,0,314854,1,8,2,5,5,122302,68,0,0,10119,72,80800,2,6,1,5,13119,2805,92.8,0,0,158,430,47,5,4,47,,6,,0,6,14,6,8,29,14,17,14,24,0,0,0,2,100,100,0,0,456523,186918,38700,200723,91481,Dec-1981,0,4,17,90.4,5,15,0,1,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3300,3300,3300, 36 months,23.4,128.44,E,E1,Sales Associate ,3 years,RENT,70000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,201xx,VA,9.79,0,Jun-2007,1,53,,5,0,3910,65.2,8,f,3170.57,3170.57,250.44,250.44,129.43,121.01,0.0,0.0,0.0,Feb-2019,128.44,Mar-2019,Feb-2019,0,,1,Individual,,,,0,59,17137,2,2,2,2,3,13227,91,1,2,2005,84,6000,1,0,1,4,4284,2090,65.2,0,0,138,114,11,3,0,11,,6,,0,2,2,2,2,5,3,3,2,5,0,0,0,3,87.5,50,0,0,20500,17137,6000,14500,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7000,7000,7000, 36 months,18.94,256.38,D,D2,Truck Driver,9 years,RENT,60000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,539xx,WI,37.04,0,Apr-2007,5,42,30,21,1,5003,20.3,77,f,6705.90,6705.90,501.71,501.71,294.10,207.61,0.0,0.0,0.0,Feb-2019,256.38,Mar-2019,Feb-2019,0,42,1,Individual,,,,0,0,60650,3,5,3,6,5,55647,83,6,14,1022,66,24600,7,1,10,20,2888,14280,20.7,0,0,131,140,1,1,0,1,,2,,2,7,10,10,13,53,16,24,10,21,0,0,0,9,95.5,0,1,0,92064,60650,18000,67464,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 36 months,8.81,158.56,A,A5,Dietary Supervisor ,10+ years,RENT,42000,Not Verified,Dec-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,272xx,NC,14.17,0,Apr-1995,0,,,3,0,2465,19.7,22,f,0.00,0.00,5055.7203680433,5055.72,5000.00,55.72,0.0,0.0,0.0,Feb-2019,5059.39,,Feb-2019,0,,1,Individual,,,,0,0,17124,0,2,1,2,7,14659,84,1,1,2465,57,12500,2,0,1,3,5708,10035,19.7,0,0,187,284,7,7,0,51,,7,,0,1,1,1,11,7,1,15,1,3,0,0,0,2,100,0,0,0,30000,17124,12500,17500,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,21250,21250,21225, 60 months,13.56,489.62,C,C1,District Manager for Fresh Operations ,4 years,RENT,161000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,347xx,FL,16.08,0,Nov-1989,0,24,,15,0,45562,25.7,21,f,20748.19,20723.78,955.23,954.11,501.81,453.42,0.0,0.0,0.0,Feb-2019,489.62,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,73061,3,1,0,3,15,27499,83,3,7,9299,35,177300,1,2,0,10,4871,111302,26.7,0,0,150,349,5,5,0,5,,16,24,0,9,11,11,12,6,14,15,11,15,0,0,0,3,95.2,0,0,0,210550,73061,151800,33250,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,4800,4800,4800, 36 months,18.94,175.81,D,D2,dispatch,4 years,RENT,28000,Not Verified,Dec-2018,Current,n,,,other,Other,773xx,TX,12.64,0,Oct-2003,0,,,4,0,9887,60.3,5,f,4598.31,4598.31,316.27,316.27,201.69,114.58,0.0,0.0,0.0,Feb-2019,175.81,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,9887,1,0,0,0,,0,,1,1,4388,60,16400,0,0,0,1,2472,3986,61.7,0,0,,182,2,2,0,2,,13,,0,2,4,2,2,0,4,5,4,4,0,0,0,1,100,50,0,0,16400,9887,10400,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,29750, 36 months,11.8,993.57,B,B4,Manager,10+ years,MORTGAGE,127000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,983xx,WA,33.77,0,Jul-2006,0,53,,21,0,21371,52.3,48,f,29301.42,29057.24,1032.91,1024.30,698.58,334.33,0.0,0.0,0.0,Feb-2019,1062.41,Mar-2019,Feb-2019,0,,1,Joint App,167000,35.26,Not Verified,0,0,533136,0,10,1,2,8,158967,86,0,1,3951,80,40900,1,1,1,3,26657,15785,51.6,0,0,149,137,24,8,3,27,,9,,0,6,9,6,10,28,10,17,9,21,0,0,0,1,97.8,50,0,0,609373,180338,32600,184323,101356,Jun-2005,0,3,23,66.7,3,26,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,21000,21000,21000, 36 months,7.02,648.62,A,A2,Aero Space Propulsion ,9 years,RENT,45000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,796xx,TX,15.93,0,Dec-1999,0,,,6,0,1885,11.6,19,f,20474.23,20474.23,644.53,644.53,525.77,118.76,0.0,0.0,0.0,Feb-2019,656.81,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,19565,0,2,0,1,14,17680,67,0,0,976,46,16200,0,2,0,1,3913,524,65.1,0,0,116,125,27,14,0,113,,,,0,1,2,1,3,9,3,9,2,6,0,0,0,0,100,0,0,0,42700,19565,1500,26500,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5300,5300,5300, 36 months,12.98,178.53,B,B5,Embedded Software Engineer,4 years,RENT,80477,Source Verified,Dec-2018,Current,n,,,major_purchase,Major purchase,034xx,NH,14.03,0,Jan-2014,2,,,14,0,7055,12.8,20,f,5056.29,5056.29,351.33,351.33,243.71,107.62,0.0,0.0,0.0,Feb-2019,178.53,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,25279,1,3,2,3,3,18224,79,1,4,4363,32,55100,3,2,3,7,1806,25604,21,0,0,50,59,12,3,0,19,,3,,0,4,6,4,5,7,11,13,6,14,0,0,0,3,100,0,0,0,78200,25279,32400,23100,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,12.98,363.89,B,B5,Manager,1 year,RENT,85000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,912xx,CA,20.91,0,Apr-2006,1,,,35,0,15265,15.7,49,f,15616.29,15616.29,710.47,710.47,383.71,326.76,0.0,0.0,0.0,Feb-2019,363.89,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,42396,2,10,2,2,5,27131,56,0,0,2310,29,97100,1,0,1,2,1247,53857,16,0,0,152,141,29,5,0,29,,6,,0,12,18,15,20,10,25,39,18,35,0,0,0,2,100,13.3,0,0,145392,42396,64100,48292,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,24000,24000,24000, 36 months,16.14,845.43,C,C4,Quality Assurance Analyst,7 years,OWN,94000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,551xx,MN,18.7,2,Oct-2006,1,10,,10,0,9954,20.1,14,f,23477.37,23477.37,866.95,866.95,522.63,344.32,0.0,0.0,0.0,Feb-2019,899.23,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,55285,1,3,1,3,3,45331,83,0,1,2290,53,49400,4,1,5,4,5529,38856,12.5,0,0,13,146,13,3,0,13,10,3,10,0,3,4,6,10,3,7,11,5,10,0,0,0,1,85.7,16.7,0,0,104161,55285,44400,54761,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,19975, 60 months,22.35,556.37,D,D5,Buyer,10+ years,MORTGAGE,70000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,980xx,WA,8.88,0,May-2003,1,,,7,0,16590,57.6,12,f,19628.84,19604.30,1075.49,1074.15,371.16,704.33,0.0,0.0,0.0,Feb-2019,556.37,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,422119,2,0,1,2,4,0,,2,2,6723,58,28800,2,2,1,5,60303,6050,72.9,0,0,141,187,3,3,1,3,,4,,0,4,5,5,5,4,6,7,5,7,0,0,0,3,100,60,0,0,446102,16590,22300,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,13.56,276.49,C,C1,Sales and Catering  Manager,5 years,RENT,52000,Not Verified,Dec-2018,Current,n,,,house,Home buying,295xx,SC,28.5,0,Mar-1996,0,,,12,0,18781,57.3,15,f,11716.63,11716.63,539.42,539.42,283.37,256.05,0.0,0.0,0.0,Feb-2019,276.49,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,22723,0,2,0,1,23,3942,22,1,1,7121,45,32800,1,1,0,2,1894,8311,67.9,0,0,184,273,11,11,0,30,,23,,0,6,7,7,7,5,10,10,7,12,0,0,0,1,100,42.9,0,0,50800,22723,25900,18000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,11.8,397.43,B,B4,Velocity Coordinator,6 years,OWN,62000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,917xx,CA,14.29,0,Apr-1990,1,,,7,0,8836,25.0,19,f,11438.39,11438.39,783.06,783.06,561.61,221.45,0.0,0.0,0.0,Feb-2019,397.43,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,33776,3,1,1,1,4,24940,96,2,2,1036,55,35300,0,3,2,3,4825,17764,5.5,0,0,147,344,1,1,0,27,,4,,0,1,4,3,5,9,6,10,4,7,0,0,0,3,100,0,0,0,61300,33776,18800,26000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 60 months,12.98,682.29,B,B5,IT Application Analyst ,10+ years,RENT,78000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,015xx,MA,30.34,0,Jun-2002,0,,,15,0,21819,45.0,17,f,29280.55,29280.55,1332.13,1332.13,719.45,612.68,0.0,0.0,0.0,Feb-2019,682.29,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,34188,1,2,0,1,23,12369,30,3,5,5169,38,48500,1,0,0,6,2442,12881,62.9,0,0,32,198,6,6,0,6,,23,,0,10,10,10,11,2,13,15,10,15,0,0,0,3,94.1,10,0,0,89304,34188,34700,40804,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9000,9000,9000, 36 months,20.89,338.57,D,D4,Cook,3 years,RENT,20944,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,958xx,CA,27.85,0,Jun-2008,1,,,4,0,5802,77.4,5,f,8633.04,8633.04,661.47,661.47,366.96,294.51,0.0,0.0,0.0,Feb-2019,338.57,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,13818,2,1,0,1,19,8016,72,3,3,5073,74,7500,0,0,2,4,3455,720,88,0,0,19,126,1,1,0,1,,4,,0,2,3,2,3,1,3,4,3,4,0,0,0,3,100,50,0,0,18675,13818,6000,11175,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,18.94,414.53,D,D2,,n/a,MORTGAGE,46800,Not Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,985xx,WA,8.13,0,Jan-1995,1,,56,7,1,1191,6.3,16,f,15673.45,15673.45,803.81,803.81,326.55,477.26,0.0,0.0,0.0,Feb-2019,414.53,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,6845,1,1,1,1,9,5654,81,4,7,1062,26,19000,1,1,3,8,978,14138,7,0,0,9,165,5,5,2,9,,5,,0,1,2,4,8,1,6,12,2,7,0,0,0,5,100,0,1,0,26000,6845,15200,7000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000, 36 months,10.33,97.27,B,B1,Security Officer ,10+ years,RENT,40000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,100xx,NY,3.12,0,Jun-2007,0,,,2,0,3439,64.9,3,f,2856.49,2856.49,191.96,191.96,143.51,48.45,0.0,0.0,0.0,Feb-2019,97.27,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,3439,0,0,0,0,,0,,0,0,2972,65,5300,0,0,0,0,1720,1861,64.9,0,0,,138,28,28,0,28,,,,0,2,2,2,3,0,2,3,2,2,0,0,0,0,100,0,0,0,5300,3439,5300,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,31200,31200,31175, 60 months,8.19,635.47,A,A4,Special Education Co-Ordinator,3 years,MORTGAGE,65000,Not Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,197xx,DE,37.2,0,Aug-2006,0,,,9,0,41004,45.3,21,f,30352.06,30327.74,1249.65,1248.65,847.94,401.71,0.0,0.0,0.0,Feb-2019,635.47,Mar-2019,Feb-2019,0,,1,Joint App,181000,23.48,Not Verified,0,0,268631,0,2,0,0,31,21839,42,0,1,21366,44,90500,0,0,0,1,29848,40896,50.1,0,0,137,148,17,17,3,17,,17,,0,3,3,5,9,8,6,10,3,9,0,0,0,0,100,40,0,0,388795,62843,81900,51495,104496,Nov-2005,1,3,15,60.9,5,15,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,16.14,352.27,C,C4,Shipping and receiving ,6 years,RENT,50000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,770xx,TX,33.65,0,Oct-2014,0,,,8,0,9826,53.4,11,f,9782.22,9782.22,343.31,343.31,217.78,125.53,0.0,0.0,0.0,Feb-2019,356.76,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,49521,0,2,0,1,18,39695,1,0,4,2678,46,18400,0,3,0,5,6190,8677,48.7,0,0,44,50,13,13,0,15,,13,,0,5,6,5,5,5,6,6,6,8,0,0,0,0,100,0,0,0,66654,49521,16900,48254,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,8.81,253.7,A,A5,Dispatcher,7 years,OWN,68000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,320xx,FL,12.44,0,Dec-2007,1,,,7,0,7371,24.5,17,f,7608.63,7608.63,476.08,476.08,391.37,84.71,0.0,0.0,0.0,Feb-2019,253.7,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,25658,2,1,0,0,36,18287,55,2,2,3880,40,30100,0,0,1,2,3665,20360,26.2,0,0,132,128,1,1,0,1,,3,,0,3,4,5,7,6,6,11,4,7,0,0,0,2,100,20,0,0,63654,25658,27600,33554,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,15000,15000,15000, 36 months,8.19,471.37,A,A4,BANQUET SUPERVISOR,10+ years,RENT,50000,Source Verified,Dec-2018,Current,n,,,other,Other,940xx,CA,20.14,0,Apr-2003,0,,,6,0,15994,59.9,7,f,14259.49,14259.49,932.5,932.50,740.51,191.99,0.0,0.0,0.0,Feb-2019,471.37,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,48206,1,1,1,1,4,32212,97,0,0,5328,80,26700,0,1,0,1,8034,6706,70.5,0,0,4,188,30,4,0,30,,,,0,4,4,4,4,1,5,6,4,6,0,0,0,1,100,75,0,0,59955,48206,22700,33255,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 36 months,7.02,154.44,A,A2,Lineman,8 years,MORTGAGE,86721,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,386xx,MS,13.83,0,Feb-2011,1,,,10,0,1930,4.1,33,f,4748.89,4748.89,305.96,305.96,251.11,54.85,0.0,0.0,0.0,Feb-2019,154.44,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,195476,3,2,2,5,3,37602,75,1,5,1930,41,46600,0,10,3,11,19548,41670,4.4,0,0,94,63,2,2,1,2,,6,,0,1,1,5,5,25,6,7,1,10,0,0,0,4,100,0,0,0,253409,39532,43600,50243,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,16.14,563.62,C,C4,Owner operator,2 years,MORTGAGE,100000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,492xx,MI,5.93,0,May-2010,0,76,,9,0,11406,47.5,10,f,15298.47,15298.47,1105.72,1105.72,701.53,404.19,0.0,0.0,0.0,Feb-2019,563.62,Mar-2019,Feb-2019,0,,1,Individual,,,,0,58,180233,0,1,1,1,8,1684,84,3,6,3286,50,24000,2,0,4,7,20026,3493,69.1,0,0,103,35,7,7,1,7,,3,,0,4,6,4,4,2,7,7,6,9,0,0,0,4,90,25,0,0,199794,13090,11300,2000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 36 months,7.02,154.44,A,A2,international shipping clerk,5 years,MORTGAGE,25000,Not Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,467xx,IN,9.75,0,Feb-2004,0,,,3,0,5717,79.4,11,f,4748.89,4748.89,305.96,305.96,251.11,54.85,0.0,0.0,0.0,Feb-2019,154.44,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,68349,0,0,0,0,35,0,,0,0,67,79,7200,0,1,0,0,22783,933,6.7,0,0,178,153,45,35,2,45,,,,0,1,2,1,3,4,2,5,2,3,0,0,0,0,100,0,0,0,92591,5717,1000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6600,6600,6575, 36 months,13.56,224.17,C,C1,Mach op.,3 years,MORTGAGE,45000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,481xx,MI,22.03,0,Mar-2005,2,,,11,0,4163,13.6,16,f,6299.13,6275.27,403.59,402.06,300.87,102.72,0.0,0.0,0.0,Feb-2019,224.17,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,53996,3,2,2,3,2,27759,97,1,3,1792,54,30700,2,0,2,6,4909,15008,10.7,0,0,27,165,5,2,1,16,,2,,0,1,4,4,6,4,8,11,4,11,0,0,0,3,100,0,0,0,91200,31922,16800,28500,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,14975, 36 months,13.56,509.47,C,C1,Truck driver ,7 years,RENT,70000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,070xx,NJ,31.01,0,Dec-2002,1,,,17,0,13159,25.4,44,f,14316.22,14292.36,1001.99,1000.32,683.78,318.21,0.0,0.0,0.0,Feb-2019,509.47,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,44935,1,3,1,3,5,31776,71,0,0,5600,47,51900,1,0,1,3,2643,19206,39,0,0,146,192,29,5,0,29,,5,,0,4,7,7,16,12,14,32,7,17,0,0,0,1,100,28.6,0,0,96583,44935,31500,44683,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9000,9000,9000, 36 months,7.02,277.98,A,A2,Marketing Communications Manager,2 years,RENT,138000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,980xx,WA,8.73,0,Feb-2005,0,,,14,0,3958,5.3,42,f,8548.02,8548.02,550.7,550.70,451.98,98.72,0.0,0.0,0.0,Feb-2019,277.98,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,83485,1,3,1,2,11,79527,77,1,2,2710,30,74800,0,4,2,4,5963,56342,6.6,0,0,166,163,3,3,2,3,,10,,0,4,4,8,10,18,11,22,4,14,0,0,0,2,100,0,0,0,159582,83485,60300,84782,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,14750, 36 months,11.8,496.79,B,B4,,< 1 year,MORTGAGE,27000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,799xx,TX,15.24,0,Aug-2008,2,,,8,0,2341,11.1,11,f,14297.99,14059.69,978.83,962.52,702.01,276.82,0.0,0.0,0.0,Feb-2019,496.79,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,37494,2,1,1,1,5,7319,92,1,2,1600,33,21000,1,1,3,3,4687,9359,20,0,0,72,118,6,5,1,6,,2,,0,2,2,3,3,2,6,8,2,8,0,0,0,2,100,0,0,0,70000,9660,11700,8000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3500,3500,3250, 36 months,11.8,115.92,B,B4,Production ,10+ years,RENT,60000,Not Verified,Dec-2018,Current,n,,,other,Other,907xx,CA,13.83,0,Mar-2001,0,135,,13,0,13808,75.9,16,f,3336.19,3097.89,228.4,212.09,163.81,64.59,0.0,0.0,0.0,Feb-2019,115.92,Mar-2019,Feb-2019,0,135,1,Individual,,,,0,0,18002,0,2,1,2,9,4194,70,0,0,2730,74,18200,2,1,1,2,1500,1472,86.6,0,0,120,213,37,9,0,37,135,9,135,1,6,9,6,7,3,11,13,9,13,0,0,0,1,100,83.3,0,0,24200,18002,11000,6000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,16.91,396.87,C,C5,Systems Admin,< 1 year,MORTGAGE,65000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,335xx,FL,24.35,0,Aug-2006,0,,,12,0,10996,32.5,20,f,15828.59,15828.59,389.36,389.36,171.41,217.95,0.0,0.0,0.0,Feb-2019,411.91,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,257358,1,4,0,2,17,59641,75,1,3,10147,54,33800,0,3,0,5,21447,11804,48.2,0,0,148,145,2,2,3,2,,13,,0,3,3,4,5,9,7,8,3,12,0,0,0,1,100,25,0,0,310652,70637,22800,76481,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
